"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72306013722","2020-05-01T08:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.84","45","58","0.00",,,,"62","29.83","FEW:02 30 FEW:02 60 SCT:04 110","29.37","10.00","51","VRB","18","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/01/20 08:51:02 METAR KRDU 011351Z VRB05G16KT 10SM FEW030 FEW060 SCT110 14/07 A2984 RMK AO2 SLP101 T01440072 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T09:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.85","44","59","0.00",,"-0.03","3","58","29.84","SCT:04 35 BKN:07 90 BKN:07 250","29.38","10.00","51","290","22","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12805/01/20 09:51:02 METAR KRDU 011451Z 29012G19KT 10SM SCT035 BKN090 BKN250 15/07 A2985 RMK AO2 SLP106 60000 T01500067 53009 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T10:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","46","62","0.00",,,,"56","29.85","BKN:07 40 BKN:07 250","29.39","10.00","54","VRB","20","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10905/01/20 10:51:02 METAR KRDU 011551Z 27010G17KT 10SM BKN040 BKN250 17/08 A2986 RMK AO2 SLP109 T01670078 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T11:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","45","62","0.00",,,,"54","29.85","BKN:07 43 BKN:07 250","29.39","10.00","53","VRB","16","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10905/01/20 11:51:02 METAR KRDU 011651Z 31008G14KT 10SM BKN043 BKN250 17/07 A2986 RMK AO2 SLP108 T01670072 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T12:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.85","46","64","0.00",,"-0.00","0","52","29.84","BKN:07 45 BKN:07 250","29.38","10.00","54","270","22","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13305/01/20 12:51:02 METAR KRDU 011751Z 27012G19KT 10SM BKN045 BKN250 18/08 A2985 RMK AO2 SLP106 60000 T01780078 10183 20117 50000 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T13:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46","64",,,"0.00","9","52","29.84","41","29.39","9.94","54","270",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN09272306 12666 62712 10178 20078 39953 40106 50000 69901 91751 333 10183 20117 91019 555 90118=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T13:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","45","64","0.00",,,,"50","29.85","BKN:07 47 BKN:07 85 BKN:07 250","29.39","10.00","54","330","20","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/01/20 13:51:02 METAR KRDU 011851Z 33008G17KT 10SM BKN047 BKN085 BKN250 18/07 A2986 RMK AO2 SLP110 T01780072 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T14:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","44","63","0.00",,,,"50","29.85","BKN:07 50 BKN:07 80 BKN:07 250","29.39","10.00","53","280",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11305/01/20 14:51:02 METAR KRDU 011951Z 28009KT 10SM BKN050 BKN080 BKN250 17/07 A2986 RMK AO2 SLP110 T01720067 (KAH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T15:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.88","51","62","0.02","|RA |RA","-0.03","3","67","29.87","BKN:07 55 BKN:07 75 BKN:07 90","29.41","10.00","56","300",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14105/01/20 15:51:02 METAR KRDU 012051Z 30003KT 10SM -RA BKN055 BKN075 BKN090 17/11 A2988 RMK AO2 RAB17 SLP116 P0002 60002 T01670106 53010 (JBA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T16:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.90","46","61","T",,,,"58","29.89","FEW:02 60 BKN:07 75 BKN:07 90","29.43","10.00","53","290",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13305/01/20 16:51:02 METAR KRDU 012151Z 29007KT 10SM FEW060 BKN075 BKN090 16/08 A2990 RMK AO2 RAE2052B39E48 SLP122 P0000 T01610078 (JBA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T17:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","42","62","0.00",,,,"48","29.92","SCT:04 55 BKN:07 75 BKN:07 90","29.46","10.00","52","VRB","21","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/01/20 17:51:02 METAR KRDU 012251Z 32008G18KT 10SM SCT055 BKN075 BKN090 17/06 A2993 RMK AO2 SLP132 T01670056 (JBA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T18:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.96","43","60","0.00",,"-0.08","3","53","29.96","SCT:04 60 SCT:04 90","29.49","10.00","51","300","16","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13305/01/20 18:51:02 METAR KRDU 012351Z 30007G14KT 10SM SCT060 SCT090 16/06 A2996 RMK AO2 SLP144 60002 T01560061 10189 20150 53027 (JBA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72306013722","2020-05-01T19:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43","60",,,"-0.08","3","53","29.96","57","29.50","9.94","51","300",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN09272306 12766 43007 10156 20061 39990 40144 53027 69951 92351 333 10189 20117 91014 555 90200=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
